"codigo_sede","total_act_2022","total_act_2023","diferencia","tendencia"
"105001000141","2","2","0","sin cambio"
"105001000159","2","2","0","sin cambio"
"105001000175","2","2","0","sin cambio"
"105001000183","2","2","0","sin cambio"
"105001000191","2","2","0","sin cambio"
"105001000213","2","2","0","sin cambio"
"105001000230","2","2","0","sin cambio"
"105001000256","2","2","0","sin cambio"
"105001000396","2","2","0","sin cambio"
"105001000418","2","2","0","sin cambio"
"105001000485","2","2","0","sin cambio"
"105001000493","2","2","0","sin cambio"
"105001000639","2","2","0","sin cambio"
"105001000795","2","2","0","sin cambio"
"105001000906","2","2","0","sin cambio"
"105001000957","2","2","0","sin cambio"
"105001000981","2","2","0","sin cambio"
"105001000990","2","2","0","sin cambio"
"105001001121","2","2","0","sin cambio"
"105001001155","2","2","0","sin cambio"
"105001001236","2","2","0","sin cambio"
"105001001252","2","2","0","sin cambio"
"105001001279","2","2","0","sin cambio"
"105001001325","2","2","0","sin cambio"
"105001001341","2","2","0","sin cambio"
"105001001368","2","2","0","sin cambio"
"105001001473","2","2","0","sin cambio"
"105001001627","2","2","0","sin cambio"
"105001001635","2","2","0","sin cambio"
"105001001651","2","2","0","sin cambio"
